Group	Protein
OG_0000011	tr|A7E950|A7E950_SCLS1
OG_0000011	sp|O43003|MMF1_SCHPO
OG_0000011	sp|P40037|HMF1_YEAST
OG_0000011	tr|Q4WAS6|Q4WAS6_ASPFU
OG_0000012	tr|A7F2T8|A7F2T8_SCLS1
OG_0000012	tr|Q4WEP9|Q4WEP9_ASPFU
OG_0000013	tr|Q4WPX8|Q4WPX8_ASPFU
OG_0000013	tr|A7F6N9|A7F6N9_SCLS1
OG_0000013	tr|Q6C9B2|Q6C9B2_YARLI
OG_0000014	sp|O13920|MDM28_SCHPO
OG_0000014	sp|Q06493|YLH47_YEAST
OG_0000014	tr|Q6C1I9|Q6C1I9_YARLI
OG_0000014	tr|Q4WX50|Q4WX50_ASPFU
OG_0000014	tr|A7EL32|A7EL32_SCLS1
OG_0000015	tr|Q6C5S2|Q6C5S2_YARLI
OG_0000015	sp|Q92372|RFA1_SCHPO
OG_0000015	tr|A7ES68|A7ES68_SCLS1
OG_0000015	sp|P22336|RFA1_YEAST
OG_0000015	tr|Q4WH82|Q4WH82_ASPFU
OG_0000016	sp|P53848|FOL1_YEAST
OG_0000016	tr|A7FA33|A7FA33_SCLS1
OG_0000016	tr|Q4X1I6|Q4X1I6_ASPFU
OG_0000016	tr|Q6CI15|Q6CI15_YARLI
OG_0000016	sp|Q4LB35|FOL1_SCHPO
OG_0000017	tr|A7EVQ8|A7EVQ8_SCLS1
OG_0000017	sp|P32913|VPS17_YEAST
OG_0000017	tr|Q4WU45|Q4WU45_ASPFU
OG_0000017	tr|Q6C8A4|Q6C8A4_YARLI
OG_0000017	sp|Q9URW7|VPS17_SCHPO
OG_0000018	tr|Q4WJA5|Q4WJA5_ASPFU
OG_0000018	sp|Q6C5K4|SDS23_YARLI
OG_0000018	sp|P53172|SDS23_YEAST
OG_0000018	sp|A7F3V4|SDS23_SCLS1
OG_0000018	sp|Q09826|SDS23_SCHPO
OG_0000019	tr|A7EU31|A7EU31_SCLS1
OG_0000019	tr|Q4WII2|Q4WII2_ASPFU
OG_0000020	tr|A7EWJ9|A7EWJ9_SCLS1
OG_0000020	tr|Q6CFN6|Q6CFN6_YARLI
OG_0000020	sp|P28274|URA7_YEAST
OG_0000020	sp|O42644|PYRG_SCHPO
OG_0000020	tr|Q4WGJ1|Q4WGJ1_ASPFU
OG_0000021	sp|Q4WLK5|ATG2_ASPFU
OG_0000021	sp|A7E6F5|ATG2_SCLS1
OG_0000022	sp|Q09731|BU107_SCHPO
OG_0000022	tr|Q6CA27|Q6CA27_YARLI
OG_0000022	tr|Q4WVF0|Q4WVF0_ASPFU
OG_0000022	tr|A7EW75|A7EW75_SCLS1
OG_0000023	sp|Q4WAH4|MANBB_ASPFU
OG_0000023	tr|A7EKY0|A7EKY0_SCLS1
OG_0000024	sp|Q09768|GSH1_SCHPO
OG_0000024	sp|P32477|GSH1_YEAST
OG_0000024	tr|Q4WYQ7|Q4WYQ7_ASPFU
OG_0000024	tr|Q6C433|Q6C433_YARLI
OG_0000024	tr|A7EYF2|A7EYF2_SCLS1
OG_0000025	tr|Q4X1W7|Q4X1W7_ASPFU
OG_0000025	tr|Q6C1C3|Q6C1C3_YARLI
OG_0000025	tr|A7EUD1|A7EUD1_SCLS1
OG_0000025	sp|P35996|RM38_YEAST
OG_0000025	sp|O94292|RM38_SCHPO
OG_0000026	sp|P0CT61|RL23B_SCHPO
OG_0000026	tr|A7EKH7|A7EKH7_SCLS1
OG_0000026	tr|Q4WI20|Q4WI20_ASPFU
OG_0000026	sp|P0CX41|RL23A_YEAST
OG_0000026	tr|Q6C9L1|Q6C9L1_YARLI
OG_0000027	sp|Q10951|BYR4_SCHPO
OG_0000027	tr|A7E9U5|A7E9U5_SCLS1
OG_0000027	tr|Q4WEW1|Q4WEW1_ASPFU
OG_0000027	tr|Q6C904|Q6C904_YARLI
OG_0000028	tr|A7F8L6|A7F8L6_SCLS1
OG_0000028	tr|Q6C0X4|Q6C0X4_YARLI
OG_0000028	tr|Q4WGR2|Q4WGR2_ASPFU
OG_0000028	sp|P25375|PRTD_YEAST
OG_0000029	sp|Q10173|NUF2_SCHPO
OG_0000029	tr|A7ET62|A7ET62_SCLS1
OG_0000029	sp|P33895|NUF2_YEAST
OG_0000029	sp|Q6C3V4|NUF2_YARLI
OG_0000029	sp|Q4WVA0|NUF2_ASPFU
OG_0000030	tr|Q6CBM4|Q6CBM4_YARLI
OG_0000030	tr|Q6CBM5|Q6CBM5_YARLI
OG_0000030	sp|P53241|VHT1_YEAST
OG_0000030	tr|Q6CG07|Q6CG07_YARLI
OG_0000031	tr|Q4WXP4|Q4WXP4_ASPFU
OG_0000031	tr|Q6CC87|Q6CC87_YARLI
OG_0000031	sp|P38254|TTL_YEAST
OG_0000031	tr|A7EMW1|A7EMW1_SCLS1
OG_0000031	sp|Q10438|TTL_SCHPO
OG_0000032	tr|Q4WJK9|Q4WJK9_ASPFU
OG_0000032	sp|P15624|SYFB_YEAST
OG_0000032	tr|A7EP71|A7EP71_SCLS1
OG_0000032	tr|Q6C4X4|Q6C4X4_YARLI
OG_0000032	sp|O42849|SYFB_SCHPO
OG_0000033	tr|Q4WU99|Q4WU99_ASPFU
OG_0000033	tr|A7F1F9|A7F1F9_SCLS1
OG_0000034	tr|Q4WJY8|Q4WJY8_ASPFU
OG_0000034	tr|A7EZD7|A7EZD7_SCLS1
OG_0000035	sp|O94623|REV1_SCHPO
OG_0000035	tr|Q4WMV6|Q4WMV6_ASPFU
OG_0000035	tr|A7E7M1|A7E7M1_SCLS1
OG_0000036	tr|Q4WHJ5|Q4WHJ5_ASPFU
OG_0000036	tr|A7EQ30|A7EQ30_SCLS1
OG_0000037	tr|A7EQ17|A7EQ17_SCLS1
OG_0000037	tr|Q6C6M4|Q6C6M4_YARLI
OG_0000037	tr|Q4WGC0|Q4WGC0_ASPFU
OG_0000037	sp|P47139|YJ68_YEAST
OG_0000038	sp|Q9US43|UPP3_SCHPO
OG_0000038	tr|Q6C567|Q6C567_YARLI
OG_0000038	tr|A7EDG5|A7EDG5_SCLS1
OG_0000038	tr|Q4WZP7|Q4WZP7_ASPFU
OG_0000039	tr|Q4WTN0|Q4WTN0_ASPFU
OG_0000039	sp|P18562|UPP_YEAST
OG_0000039	tr|A7E4G8|A7E4G8_SCLS1
OG_0000039	tr|Q6BZS4|Q6BZS4_YARLI
OG_0000039	sp|Q9HE15|UPP2_SCHPO
OG_0000040	tr|Q4WM33|Q4WM33_ASPFU
OG_0000040	sp|Q12298|YD061_YEAST
OG_0000040	tr|A7EED7|A7EED7_SCLS1
OG_0000040	tr|Q6C3M1|Q6C3M1_YARLI
OG_0000040	sp|Q9UT95|YL44_SCHPO
OG_0000041	tr|Q6C2Y4|Q6C2Y4_YARLI
OG_0000041	sp|P21954|IDHP_YEAST
OG_0000041	tr|Q4WX92|Q4WX92_ASPFU
OG_0000041	sp|O14254|IDHP_SCHPO
OG_0000041	tr|A7EHY2|A7EHY2_SCLS1
OG_0000042	sp|P41939|IDHC_YEAST
OG_0000043	tr|A7EM54|A7EM54_SCLS1
OG_0000043	sp|Q9USW3|YHZ7_SCHPO
OG_0000044	tr|A7E7Z4|A7E7Z4_SCLS1
OG_0000044	tr|A7F8E1|A7F8E1_SCLS1
OG_0000044	tr|Q4WJP2|Q4WJP2_ASPFU
OG_0000045	sp|O13968|YE48_SCHPO
OG_0000045	tr|Q4WWU0|Q4WWU0_ASPFU
OG_0000045	tr|Q6C0E8|Q6C0E8_YARLI
OG_0000045	sp|P27614|CBPS_YEAST
OG_0000046	tr|A7E647|A7E647_SCLS1
OG_0000046	tr|A4D9P3|A4D9P3_ASPFU
OG_0000047	tr|Q4WRR0|Q4WRR0_ASPFU
OG_0000047	tr|A7F4I8|A7F4I8_SCLS1
OG_0000047	tr|A4D9Q4|A4D9Q4_ASPFU
OG_0000048	tr|Q4WD04|Q4WD04_ASPFU
OG_0000048	sp|Q9USN4|YJA1_SCHPO
OG_0000048	tr|A7ETH2|A7ETH2_SCLS1
OG_0000048	tr|A7EKE6|A7EKE6_SCLS1
OG_0000049	tr|Q4WYU7|Q4WYU7_ASPFU
OG_0000049	tr|Q6C8E1|Q6C8E1_YARLI
OG_0000049	sp|P22213|SLY1_YEAST
OG_0000049	sp|O74534|SLY1_SCHPO
OG_0000049	tr|A7EI11|A7EI11_SCLS1
OG_0000050	tr|Q6CA35|Q6CA35_YARLI
OG_0000050	sp|O42939|UBA2_SCHPO
OG_0000050	sp|P52488|UBA2_YEAST
OG_0000050	tr|A7EAP4|A7EAP4_SCLS1
OG_0000050	tr|Q4WMB3|Q4WMB3_ASPFU
OG_0000051	tr|Q4WKM7|Q4WKM7_ASPFU
OG_0000051	tr|A7EX33|A7EX33_SCLS1
OG_0000052	tr|Q4W9N7|Q4W9N7_ASPFU
OG_0000052	tr|Q6CGA7|Q6CGA7_YARLI
OG_0000052	sp|Q02959|HOS3_YEAST
OG_0000052	tr|A7ESH1|A7ESH1_SCLS1
OG_0000053	sp|Q9C0W2|ATD22_SCHPO
OG_0000053	tr|Q6C0M6|Q6C0M6_YARLI
OG_0000053	sp|P40340|ATAD2_YEAST
OG_0000054	tr|A7EZD0|A7EZD0_SCLS1
OG_0000054	sp|P36597|NMT1_SCHPO
OG_0000054	tr|E9R9J7|E9R9J7_ASPFU
OG_0000054	sp|P43534|THI5_YEAST
OG_0000054	sp|P47183|THI11_YEAST
OG_0000055	sp|Q04119|PPN1_YEAST
OG_0000055	sp|Q6CEE7|PPN1_YARLI
OG_0000055	sp|Q9C1W8|PPN1_SCHPO
OG_0000055	tr|E9R963|E9R963_ASPFU
OG_0000055	tr|A7EMW4|A7EMW4_SCLS1
OG_0000056	tr|A7E736|A7E736_SCLS1
OG_0000056	sp|Q4WYF1|HIR3_ASPFU
OG_0000057	tr|A7E8N6|A7E8N6_SCLS1
OG_0000057	tr|Q4WEG9|Q4WEG9_ASPFU
OG_0000057	tr|Q6C123|Q6C123_YARLI
OG_0000057	sp|P40514|YIG7_YEAST
OG_0000058	sp|P33277|GAP1_SCHPO
OG_0000058	tr|Q4WXL2|Q4WXL2_ASPFU
OG_0000058	tr|A7F129|A7F129_SCLS1
OG_0000058	tr|W0TYM2|W0TYM2_YARLI
OG_0000059	tr|Q6C4T4|Q6C4T4_YARLI
OG_0000059	sp|P38361|PHO89_YEAST
OG_0000059	tr|A7EH94|A7EH94_SCLS1
OG_0000059	tr|Q4WF92|Q4WF92_ASPFU
OG_0000060	sp|Q4X228|STUA_ASPFU
OG_0000060	tr|Q6CE10|Q6CE10_YARLI
OG_0000060	tr|A7ES51|A7ES51_SCLS1
OG_0000060	sp|P53438|SOK2_YEAST
OG_0000061	sp|Q9UUK2|GCN5_SCHPO
OG_0000061	tr|A7EA65|A7EA65_SCLS1
OG_0000062	tr|Q4WDG6|Q4WDG6_ASPFU
OG_0000062	sp|Q9UT67|IMT2_SCHPO
OG_0000062	sp|P33300|SUR1_YEAST
OG_0000062	tr|A7E560|A7E560_SCLS1
OG_0000063	tr|Q6CHK3|Q6CHK3_YARLI
OG_0000063	sp|Q03016|GIP3_YEAST
OG_0000064	tr|Q6C410|Q6C410_YARLI
OG_0000064	tr|Q4WEX8|Q4WEX8_ASPFU
OG_0000064	sp|P15565|TRM1_YEAST
OG_0000064	tr|A7F5T7|A7F5T7_SCLS1
OG_0000064	sp|Q9P804|TRM1_SCHPO
OG_0000065	sp|O13941|YEPB_SCHPO
OG_0000065	sp|P33336|SKN1_YEAST
OG_0000065	tr|Q6CBZ2|Q6CBZ2_YARLI
OG_0000066	tr|Q6CI63|Q6CI63_YARLI
OG_0000066	tr|A7EQS0|A7EQS0_SCLS1
OG_0000066	sp|P41389|MCM5_SCHPO
OG_0000066	sp|P29496|MCM5_YEAST
OG_0000066	tr|Q4WEC5|Q4WEC5_ASPFU
OG_0000067	tr|A7EUL2|A7EUL2_SCLS1
OG_0000067	tr|Q4WDI1|Q4WDI1_ASPFU
OG_0000068	tr|A7E8G4|A7E8G4_SCLS1
OG_0000068	sp|P39081|PCF11_YEAST
OG_0000068	tr|Q4WJ23|Q4WJ23_ASPFU
OG_0000068	tr|Q6CBY3|Q6CBY3_YARLI
OG_0000068	sp|Q10237|YD14_SCHPO
OG_0000069	sp|P39014|MET30_YEAST
OG_0000069	tr|A7EM04|A7EM04_SCLS1
OG_0000069	sp|Q4X0A9|SCONB_ASPFU
OG_0000069	tr|W0TYP9|W0TYP9_YARLI
OG_0000069	sp|P87053|POF1_SCHPO
OG_0000070	tr|A7EV95|A7EV95_SCLS1
OG_0000070	tr|Q4WHV8|Q4WHV8_ASPFU
OG_0000070	tr|Q6CEK2|Q6CEK2_YARLI
OG_0000070	sp|O13985|YEG3_SCHPO
OG_0000070	sp|Q04199|CAC2_YEAST
OG_0000071	tr|A7EVT6|A7EVT6_SCLS1
OG_0000071	tr|Q6C6I5|Q6C6I5_YARLI
OG_0000071	sp|O94431|EGT2_SCHPO
OG_0000072	tr|Q6C6W9|Q6C6W9_YARLI
OG_0000072	sp|P43603|LSB3_YEAST
OG_0000072	sp|Q9URW6|YIE2_SCHPO
OG_0000072	tr|Q4WN23|Q4WN23_ASPFU
OG_0000072	tr|A7EAW0|A7EAW0_SCLS1
OG_0000073	sp|P0C959|DPP5_ASPFU
OG_0000073	sp|Q9P778|DPP5_SCHPO
OG_0000073	tr|A7EX50|A7EX50_SCLS1
OG_0000074	sp|P09950|HEM1_YEAST
OG_0000074	sp|Q6CCW0|HEM1_YARLI
OG_0000074	sp|O14092|HEM1_SCHPO
OG_0000074	tr|A7ENN7|A7ENN7_SCLS1
OG_0000074	tr|Q4WTV8|Q4WTV8_ASPFU
OG_0000075	sp|O74879|NOL10_SCHPO
OG_0000075	sp|P48234|NOL10_YEAST
OG_0000075	tr|Q4WHN4|Q4WHN4_ASPFU
OG_0000075	tr|Q6CG90|Q6CG90_YARLI
OG_0000075	tr|A7EAA3|A7EAA3_SCLS1
OG_0000076	sp|Q04792|DCE_YEAST
OG_0000076	tr|A7EIA7|A7EIA7_SCLS1
OG_0000076	tr|Q6C2F2|Q6C2F2_YARLI
OG_0000077	tr|Q4WC18|Q4WC18_ASPFU
OG_0000077	tr|A7E670|A7E670_SCLS1
OG_0000078	sp|P47125|I23O_YEAST
OG_0000078	tr|Q4WPM9|Q4WPM9_ASPFU
OG_0000078	tr|Q6C0A4|Q6C0A4_YARLI
OG_0000078	tr|A7ESB7|A7ESB7_SCLS1
OG_0000079	sp|O13945|PPK9_SCHPO
OG_0000079	sp|P06784|STE7_YEAST
OG_0000080	tr|Q6C5Z7|Q6C5Z7_YARLI
OG_0000080	sp|O42844|KCC2_SCHPO
OG_0000080	sp|P38622|RCK1_YEAST
OG_0000081	tr|Q6C174|Q6C174_YARLI
OG_0000081	tr|A7EGJ0|A7EGJ0_SCLS1
OG_0000081	tr|Q4WKB1|Q4WKB1_ASPFU
OG_0000081	sp|O13912|YDW6_SCHPO
OG_0000081	sp|P53925|YNL5_YEAST
OG_0000082	tr|A7ERB6|A7ERB6_SCLS1
OG_0000082	tr|Q6C5W2|Q6C5W2_YARLI
OG_0000082	sp|P32367|TFC1_YEAST
OG_0000082	tr|Q4WEC8|Q4WEC8_ASPFU
OG_0000082	sp|O14229|SFC1_SCHPO
OG_0000083	sp|O14170|POP2_SCHPO
OG_0000083	sp|P07834|CDC4_YEAST
OG_0000083	tr|Q6C5T6|Q6C5T6_YARLI
OG_0000084	tr|A7EZ24|A7EZ24_SCLS1
OG_0000084	sp|Q10269|AREH1_SCHPO
OG_0000084	tr|Q6C2M6|Q6C2M6_YARLI
OG_0000084	sp|P53629|ARE2_YEAST
OG_0000085	sp|P40362|UTP18_YEAST
OG_0000085	tr|A7EX29|A7EX29_SCLS1
OG_0000085	tr|Q6BZR5|Q6BZR5_YARLI
OG_0000085	sp|P78750|UTP18_SCHPO
OG_0000085	tr|Q4WHC1|Q4WHC1_ASPFU
OG_0000086	tr|Q6CBK5|Q6CBK5_YARLI
OG_0000086	tr|Q4WBK5|Q4WBK5_ASPFU
OG_0000087	sp|O74310|ZNG1_SCHPO
OG_0000087	tr|Q4X0Z9|Q4X0Z9_ASPFU
OG_0000087	tr|Q6C647|Q6C647_YARLI
OG_0000087	sp|P53729|ZNG1_YEAST
OG_0000087	tr|A7EXB1|A7EXB1_SCLS1
OG_0000088	tr|A7EFF3|A7EFF3_SCLS1
OG_0000088	tr|Q4WGC9|Q4WGC9_ASPFU
OG_0000089	tr|A7EW57|A7EW57_SCLS1
OG_0000089	sp|Q9USX7|PPK22_SCHPO
OG_0000089	tr|Q4WVB6|Q4WVB6_ASPFU
OG_0000089	tr|Q6CHV0|Q6CHV0_YARLI
OG_0000090	tr|A7E641|A7E641_SCLS1
OG_0000090	tr|Q4WCC4|Q4WCC4_ASPFU
OG_0000091	tr|Q4WVK4|Q4WVK4_ASPFU
OG_0000091	sp|O13828|DCP2_SCHPO
OG_0000091	tr|Q6CC24|Q6CC24_YARLI
OG_0000091	tr|A7EDV2|A7EDV2_SCLS1
OG_0000092	sp|Q10222|PTA1_SCHPO
OG_0000092	sp|Q01329|PTA1_YEAST
OG_0000092	tr|Q6C2Z4|Q6C2Z4_YARLI
OG_0000092	tr|A7E8R3|A7E8R3_SCLS1
OG_0000092	tr|Q4WCH3|Q4WCH3_ASPFU
OG_0000093	tr|Q4WRF6|Q4WRF6_ASPFU
OG_0000093	sp|Q9USS6|PPA4_SCHPO
OG_0000093	tr|A7ENR8|A7ENR8_SCLS1
OG_0000094	tr|Q6C4G0|Q6C4G0_YARLI
OG_0000094	tr|Q4WYX2|Q4WYX2_ASPFU
OG_0000094	tr|A7F461|A7F461_SCLS1
OG_0000095	sp|Q9Y8G3|MEX67_SCHPO
OG_0000095	sp|Q99257|MEX67_YEAST
OG_0000095	tr|Q4WJR0|Q4WJR0_ASPFU
OG_0000095	tr|Q6CGM7|Q6CGM7_YARLI
OG_0000095	tr|A7F9E5|A7F9E5_SCLS1
OG_0000096	sp|P32609|PEP7_YEAST
OG_0000096	tr|Q4WYP4|Q4WYP4_ASPFU
OG_0000096	sp|O13786|PEP7_SCHPO
OG_0000096	tr|Q6C518|Q6C518_YARLI
OG_0000096	tr|A7F8Z4|A7F8Z4_SCLS1
OG_0000097	sp|Q9Y7Q7|DENN_SCHPO
OG_0000097	tr|Q4WNP4|Q4WNP4_ASPFU
OG_0000097	tr|A7EF60|A7EF60_SCLS1
OG_0000098	tr|Q4WB04|Q4WB04_ASPFU
OG_0000098	tr|Q6C544|Q6C544_YARLI
OG_0000099	sp|P40032|TPA1_YEAST
OG_0000099	sp|Q11120|OFD1_SCHPO
OG_0000099	tr|A7E967|A7E967_SCLS1
OG_0000099	tr|Q6CDU6|Q6CDU6_YARLI
OG_0000099	tr|Q4X040|Q4X040_ASPFU
OG_0000100	tr|Q6C5B1|Q6C5B1_YARLI
OG_0000100	tr|Q4WLQ1|Q4WLQ1_ASPFU
OG_0000100	tr|A7F0D8|A7F0D8_SCLS1
OG_0000100	sp|O59714|YBH6_SCHPO
OG_0000100	sp|P25639|YCV1_YEAST
OG_0000101	tr|Q6C2E4|Q6C2E4_YARLI
OG_0000101	sp|Q02197|NAA35_YEAST
OG_0000101	tr|Q4X1N7|Q4X1N7_ASPFU
OG_0000101	tr|A7E8G7|A7E8G7_SCLS1
OG_0000102	tr|A4GYZ1|A4GYZ1_ASPFU
OG_0000102	tr|A7EDU4|A7EDU4_SCLS1
OG_0000103	sp|Q9P6I7|ADE_SCHPO
OG_0000103	sp|Q4X1Q4|ADE_ASPFU
OG_0000103	tr|A7E695|A7E695_SCLS1
OG_0000103	sp|P53909|ADE_YEAST
OG_0000104	tr|A7EHR8|A7EHR8_SCLS1
OG_0000104	tr|Q4X048|Q4X048_ASPFU
OG_0000105	sp|Q9UTH9|DUS3_SCHPO
OG_0000105	sp|Q6C4K3|DUS3_YARLI
OG_0000105	sp|Q06053|DUS3_YEAST
OG_0000105	sp|Q4WRX4|DUS3_ASPFU
OG_0000105	sp|A7EKL8|DUS3_SCLS1
OG_0000106	tr|Q6C4J5|Q6C4J5_YARLI
OG_0000106	tr|A7E9H9|A7E9H9_SCLS1
OG_0000106	sp|P53120|YGO0_YEAST
OG_0000107	sp|O94271|YORN_SCHPO
OG_0000107	tr|A7EHR4|A7EHR4_SCLS1
OG_0000107	tr|Q4WJ58|Q4WJ58_ASPFU
OG_0000107	tr|Q6CGG7|Q6CGG7_YARLI
OG_0000107	sp|Q06436|MAG2_YEAST
OG_0000108	tr|A7EBF1|A7EBF1_SCLS1
OG_0000108	sp|O59805|YJV7_SCHPO
OG_0000108	tr|Q4W9P8|Q4W9P8_ASPFU
OG_0000108	tr|Q6CAQ2|Q6CAQ2_YARLI
OG_0000108	tr|Q6C873|Q6C873_YARLI
OG_0000109	tr|Q4WFN4|Q4WFN4_ASPFU
OG_0000109	tr|A7EBH7|A7EBH7_SCLS1
OG_0000110	tr|Q4WR37|Q4WR37_ASPFU
OG_0000110	tr|A7EJ70|A7EJ70_SCLS1
OG_0000111	tr|Q4WXQ2|Q4WXQ2_ASPFU
OG_0000111	sp|Q9HDU2|GAL1_SCHPO
OG_0000111	tr|Q6CC28|Q6CC28_YARLI
OG_0000111	tr|A7EMK0|A7EMK0_SCLS1
OG_0000111	sp|P04385|GAL1_YEAST
OG_0000112	tr|Q6C0T7|Q6C0T7_YARLI
OG_0000112	tr|A7EBJ6|A7EBJ6_SCLS1
OG_0000112	sp|Q9P6I4|YHG6_SCHPO
OG_0000112	tr|A7EHQ8|A7EHQ8_SCLS1
OG_0000113	sp|Q9P7J8|GAD8_SCHPO
OG_0000113	tr|Q4X1A8|Q4X1A8_ASPFU
OG_0000113	tr|Q6C6T3|Q6C6T3_YARLI
OG_0000113	tr|A7FA24|A7FA24_SCLS1
OG_0000114	sp|Q9P3V5|YI45_SCHPO
OG_0000114	tr|Q4WA84|Q4WA84_ASPFU
OG_0000114	sp|P0CU11|YHEG_SCHPO
OG_0000114	tr|A7EXJ1|A7EXJ1_SCLS1
OG_0000115	tr|A7E9A5|A7E9A5_SCLS1
OG_0000115	tr|E9QTT4|E9QTT4_ASPFU
OG_0000116	sp|Q6C186|CLF1_YARLI
OG_0000116	sp|Q4WT84|CLF1_ASPFU
OG_0000116	sp|Q12309|CLF1_YEAST
OG_0000116	sp|P87312|CLF1_SCHPO
OG_0000116	tr|A7EN98|A7EN98_SCLS1
OG_0000117	sp|P38922|HRB1_YEAST
OG_0000117	tr|A7F087|A7F087_SCLS1
OG_0000117	tr|Q4WLU4|Q4WLU4_ASPFU
OG_0000117	sp|Q9P3U1|YKX5_SCHPO
OG_0000117	tr|Q6C5Y5|Q6C5Y5_YARLI
OG_0000118	tr|Q6C1F8|Q6C1F8_YARLI
OG_0000118	sp|P23201|SPA2_YEAST
OG_0000119	tr|Q6CDG7|Q6CDG7_YARLI
OG_0000119	sp|P41411|CDC18_SCHPO
OG_0000119	tr|A7EGS4|A7EGS4_SCLS1
OG_0000119	sp|P09119|CDC6_YEAST
OG_0000119	tr|Q4WGA1|Q4WGA1_ASPFU
OG_0000120	sp|O74878|ALG11_SCHPO
OG_0000120	tr|Q4WJ82|Q4WJ82_ASPFU
OG_0000120	sp|Q6C9T3|ALG11_YARLI
OG_0000120	tr|A7F022|A7F022_SCLS1
OG_0000120	sp|P53954|ALG11_YEAST
OG_0000121	tr|Q4WDH7|Q4WDH7_ASPFU
OG_0000121	sp|P40302|PSA6_YEAST
OG_0000121	tr|A7ETV2|A7ETV2_SCLS1
OG_0000121	sp|O14250|PSA6_SCHPO
OG_0000121	tr|Q6CBM3|Q6CBM3_YARLI
OG_0000122	tr|Q4X127|Q4X127_ASPFU
OG_0000122	tr|A7EWQ3|A7EWQ3_SCLS1
OG_0000122	sp|Q9UT97|PSA5_SCHPO
OG_0000122	sp|P32379|PSA5_YEAST
OG_0000122	tr|Q6C788|Q6C788_YARLI
OG_0000123	sp|Q4WHG0|CEF1_ASPFU
OG_0000123	sp|P39964|CEF1_SCHPO
OG_0000123	sp|Q6C8F5|CEF1_YARLI
OG_0000123	tr|A7ETG9|A7ETG9_SCLS1
OG_0000124	tr|Q4WKG9|Q4WKG9_ASPFU
OG_0000124	tr|Q6C6D4|Q6C6D4_YARLI
OG_0000124	tr|A7EEL1|A7EEL1_SCLS1
OG_0000124	sp|Q92359|YDHE_SCHPO
OG_0000125	sp|O13940|GLY1_SCHPO
OG_0000125	sp|P37303|GLY1_YEAST
OG_0000125	tr|Q6CG81|Q6CG81_YARLI
OG_0000125	tr|A7EAH6|A7EAH6_SCLS1
OG_0000126	tr|Q4WPU2|Q4WPU2_ASPFU
OG_0000126	sp|Q12122|HOSM_YEAST
OG_0000126	sp|Q9Y823|HOSM_SCHPO
OG_0000126	tr|A7F9M5|A7F9M5_SCLS1
OG_0000127	sp|Q9HGN7|SEC63_SCHPO
OG_0000127	tr|Q4WRV7|Q4WRV7_ASPFU
OG_0000127	tr|A7F4M4|A7F4M4_SCLS1
OG_0000127	sp|P14906|SEC63_YEAST
OG_0000127	tr|Q6CGM8|Q6CGM8_YARLI
